#{"t_start": 1776543431.8536737, "env_id": "LunarLanderContinuous-v3"}
r,l,t
258.430854,232,2356.866794
288.49584,226,2359.627615
272.761578,142,2361.290245
-136.485157,690,2368.83513
245.542833,466,2374.011423
220.887182,580,2381.263318
313.167204,219,2383.722826
274.39087,191,2385.786165
280.068192,203,2388.012491
271.834962,164,2390.021064
275.536504,184,2392.063944
276.978283,194,2394.28447
267.855858,209,2396.651801
271.652438,158,2398.571033
-15.683499,83,2399.594455
301.203386,204,2402.042221
298.870933,206,2404.409914
-64.707165,1000,2415.509393
268.927915,183,2417.564392
227.506371,419,2422.659885
266.238423,188,2424.945555
272.313533,162,2426.80472
277.831701,188,2428.964988
301.86406,239,2431.713921
-128.632946,480,2437.468227
-135.614713,137,2439.177892
258.624813,256,2441.937411
275.903768,189,2443.765783
265.444592,185,2445.550766
271.919526,185,2447.502636
279.314177,193,2449.936876
295.345958,206,2452.417742
263.570875,189,2454.688618
277.74893,178,2456.565792
269.598241,151,2458.026339
286.770122,158,2459.580166
286.461243,203,2461.796208
292.829053,185,2464.022476
273.325452,163,2465.979634
-121.078734,162,2467.962292
279.758394,156,2469.7558
264.013778,404,2474.231196
283.250961,241,2477.016718
274.623954,191,2478.951404
298.24529,200,2480.932208
266.125459,147,2482.401735
267.950277,152,2484.132724
269.740636,154,2485.904939
273.739235,170,2487.921277
250.384484,162,2489.858916
261.406258,171,2491.886105
268.001896,166,2493.816716
278.090156,387,2498.341022
286.301453,212,2500.811806
271.420187,156,2502.655192
276.986455,272,2505.865959
265.373433,327,2509.601981
239.325225,230,2511.999219
262.67107,175,2513.87863
258.755862,419,2518.40115
280.984569,184,2520.346381
280.90156,353,2524.002553
241.232049,272,2526.895556
283.237348,146,2528.596704
290.65188,156,2530.434146
300.526068,236,2533.057218
-133.382683,130,2534.408916
241.043781,168,2536.102646
287.435746,188,2538.093827
278.894322,221,2540.785401
247.339285,159,2542.661843
249.800583,190,2544.619866
288.474996,264,2547.606788
270.948218,172,2549.654714
309.642845,171,2551.574811
246.904082,198,2553.830515
260.976402,173,2555.493984
284.98666,180,2557.167235
275.976872,166,2558.701669
274.813756,193,2560.597628
295.692511,259,2563.790833
261.272814,169,2565.883631
271.395118,175,2567.916153
247.760826,174,2569.924068
252.396592,183,2571.683957
278.93203,145,2573.162434
298.60689,210,2575.495522
262.856527,188,2577.54748
276.503039,299,2580.879707
276.859002,181,2582.788322
288.92738,205,2584.763895
272.973706,190,2586.676369
307.109779,232,2589.121255
248.95346,176,2591.216611
263.206009,189,2593.602459
277.936593,167,2595.801998
268.188222,211,2598.127253
267.610119,290,2601.716254
280.932879,192,2603.879449
284.792735,197,2606.048857
235.307845,417,2610.366016
255.054345,518,2616.458316
283.397144,216,2618.61951
280.68482,157,2620.20536
273.225854,165,2621.830894
59.43268,156,2623.406621
260.142663,190,2625.638412
278.016125,174,2627.781568
278.525206,192,2630.250688
266.247849,229,2632.612905
292.498947,189,2634.583845
288.102522,220,2636.879251
281.030484,201,2639.442534
294.708278,153,2641.361773
271.688459,183,2643.606233
285.340946,159,2645.444191
247.138941,165,2647.157043
275.941905,188,2649.138388
267.861509,602,2656.347704
300.91824,191,2658.62867
295.277096,233,2661.471823
283.41887,197,2663.904809
250.382262,151,2665.730997
275.165657,179,2667.838886
273.868655,151,2669.582004
280.053888,305,2673.124171
299.129013,229,2675.920783
291.668257,202,2678.379935
255.024526,175,2680.531114
292.77824,308,2684.161825
270.727804,292,2687.734116
243.464201,168,2689.752292
293.059844,236,2692.203553
293.129562,268,2694.968884
265.847949,165,2696.903121
294.21283,204,2699.43535
